ID,Lesson,Student,KC,item,right,firstattempt,time
0,Splot,AGUFADE,VALUING-CAT-FEATURES,META-VALUING-CAT-FEATURES-1,1,1,3.297
1,Splot,AGUFADE,VALUING-NUM-FEATURES,META-VALUING-NUM-FEATURES-1,0,1,4.047
2,Splot,AGUFADE,CHOOSE-VAR-TYPE,CHOOSE-VAR-TYPE-NUM-1,1,1,1.593
3,Splot,AGUFADE,VALUING-NUM-FEATURES,META-VALUING-NUM-FEATURES-1,0,0,2.922
4,Splot,AGUFADE,CHOOSE-VAR-TYPE,CHOOSE-VAR-TYPE-NUM-2,1,1,1.594
5,Splot,AGUFADE,VALUING-NUM-FEATURES,META-VALUING-NUM-FEATURES-1,1,0,1.734
6,Splot,AGUFADE,VALUING-NUM-FEATURES,META-VALUING-NUM-FEATURES-2,1,1,1.922
7,Splot,AGUFADE,VALUING-CAT-FEATURES,META-VALUING-CAT-FEATURES-2,0,1,3.203
8,Splot,AGUFADE,CHOOSE-OK-SPLOT,CHOOSE-OK-SPLOT-NOPE-1,1,1,5.219
9,Splot,AGUFADE,CHOOSE-OK-SPLOT,CHOOSE-OK-SPLOT-NOPE-2,0,1,4.578
10,Splot,AGUFADE,CHOOSE-OK-BG,META-CHOOSE-OK-BG-1,1,1,3.547
11,Splot,AGUFADE,CHOOSE-OK-BG,META-CHOOSE-OK-BG-2,0,1,3.969
12,Splot,AGUFADE,CHOOSE-OK-BG,META-CHOOSE-OK-BG-2,1,0,4
13,Splot,AGUFADE,CHOOSE-OK-BG,META-CHOOSE-OK-BG-3,1,1,14.703
14,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,1,1.406
15,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,20.078
16,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,3.063
17,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,7.016
18,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,2.171
19,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,5.985
20,Splot,AGUFADE,CHOOSE-X-QUANTITATIVE,META-CHOOSE-X-QUANTITATIVE-1,0,0,1.484
21,Splot,AGUFADE,CHOOSE-X-AXIS-QUANTITATIVE,CHOOSE-X-AXIS-QUANTITATIVE-1,0,1,3.594
22,Splot,AGUFADE,CHOOSE-X-AXIS-QUANTITATIVE,CHOOSE-X-AXIS-QUANTITATIVE-1,1,0,2.813
23,Splot,AGUFADE,CHOOSE-Y-AXIS-QUANTITATIVE,CHOOSE-Y-AXIS-QUANTITATIVE-1,0,1,1.781
24,Splot,AGUFADE,CHOOSE-Y-AXIS-QUANTITATIVE,CHOOSE-Y-AXIS-QUANTITATIVE-1,1,0,53.11
25,Splot,AGUFADE,SETMAX,META-DETERMINE-SETMAX-1,1,1,8.968
26,Splot,AGUFADE,SETMIN,META-DETERMINE-SETMIN-1,1,1,16.391
27,Splot,AGUFADE,DETERMINE-RANGE,META-DETERMINE-RANGE-1,1,1,10.328
28,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,1,13.063
29,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,3.203
30,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,3.187
31,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,1.578
32,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,6.547
